Reference,Authors,Title,Year,Status,Status rationale,Notes,Data type,FullTextURL,"Trait,s","Guild,s",No. lines used,Data type,Sex ,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Wolbachia adjusted,Baseline reference (eg competitor genptype)
Maesani et al (2015) PLOS Computational Biology,"A Maesani, P Ramdya, S Cruchet…",Fluctuation-Driven Neural Dynamics Reproduce Drosophila Locomotor Patterns,2015,have,,,,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004577,Locomotion,Odor response,98,,,2-5,,,,25,,
,"JH Massey, N Akiyama, T Bien, K Dreisewerd…",Pleiotropic effects of ebony and tan on pigmentation and cuticular hydrocarbon composition in Drosophila melanogaster,2019,remove,Used previously published data Dembeck 2015,,,https://www.frontiersin.org/articles/10.3389/fphys.2019.00518/full,,,,,,,,,,,,
,"AA Erwin, JP Blumenstiel",Aging in the Drosophila ovary: contrasting changes in the expression of the piRNA machinery and mitochondria but no global release of transposable …,2019,remove,insufficient lines used,,,https://link.springer.com/article/10.1186/s12864-019-5668-3,,,,,,,,,,,,
Hotson and Schneider (2015) G3,AG Hotson,Drosophila Melanogaster Natural Variation Affects Infection and Microbial Growth Dynamics when Infected with Listeria Monocytogenes,2015,have,,,,https://doi.org/10.1534/g3.115.022558,Survival and bacterial load,Bacterial resistance ,114,,Male,5-7,70,20,dextrose medium,25,,
Dobson et al (2015) Nature Communications,"AJ Dobson, JM Chaston, PD Newell, L Donahue…",Host genetic determinants of microbiota-dependent nutrition revealed by genome-wide analysis of Drosophila melanogaster,2015,have,added by Tom,,,https://www.nature.com/articles/ncomms7312,Multiple,Microbiota,108,,Male,,15,,glucose yeast medium,25,,
,"W Zhang, RG Reeves, D Tautz",Testing the omnigenic model for a behavioral trait in Drosophila melanogaster,2019,remove,Preprint of Zhang et al,,,https://www.biorxiv.org/content/10.1101/639955v1.full-text,,,,,,,,,,,,
Takahara and Takahashi (2015) PLOS One,"B Takahara, KH Takahashi",Genome-Wide Association Study on Male Genital Shape and Size in Drosophila melanogaster,2015,have,Added by Tom,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0132846,Genital shape and size,Morphology,155,,Male,,8,,cornmeal agar,,,
,"GE Rech, M Bogaerts-Márquez, MG Barrón…","Stress response, behavior, and development are shaped by transposable element-induced mutations in Drosophila",2019,remove,Used sequencing data from Huang 2014,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007900,,,,,,,,,,,,
,"CF Kent, T Tiwari, S Rose, H Patel, IM Conflitti, A Zayed",GENES AND BEHAVIOR,2019,remove,Book,,,https://www.researchgate.net/profile/Amro-Zayed/publication/324710304_Studying_the_Genetics_of_Behavior_in_the_Genomics_Era/links/5c530bc3299bf12be3f0e3dc/Studying-the-Genetics-of-Behavior-in-the-Genomics-Era.pdf,,,,,,,,,,,,
,L Jehrke,Modellierung metabolischer Entscheidungsprozesse mit Hilfe des Modellorganismus Drosophila melanogaster als experimentelles Testsystem,2019,remove,Thesis of Jehrke 2018,,,https://docserv.uni-duesseldorf.de/servlets/DerivateServlet/Derivate-53477,,,,,,,,,,,,
,Z Li,Integrating Omics Data into Genomic Prediction,2019,remove,Used sequencing data from Mackay 2012,,,https://ediss.uni-goettingen.de/bitstream/handle/21.11130/00-1735-0000-0003-C178-C/Thesis-0725final-LI(3).pdf?sequence=1,,,,,,,,,,,,
,"P Vendrell-Mir, F Barteri, M Merenciano, J González…",A benchmark of transposon insertion detection tools using real data,2019,remove,Used previously published data,,,https://link.springer.com/article/10.1186/s13100-019-0197-9,,,,,,,,,,,,
,"A Çelikgil, M Kükrer, CC Bilgin",Phylogeography of Turkish Honeybees (Apis mellifera L.) Based on mtDNA Sequences,2019,remove,Talk abstracts,,,https://open.metu.edu.tr/bitstream/handle/11511/86354/index.pdf,,,,,,,,,,,,
,"JA Mossman, LM Biancani, DM Rand",Mitochondrial genomic variation drives differential nuclear gene expression in discrete regions of Drosophila gene and protein interaction networks,2019,remove,Crosses used,,,https://link.springer.com/article/10.1186/s12864-019-6061-y,,,,,,,,,,,,
,"M Merenciano, C Iacometti, J González",A unique cluster of roo insertions in the promoter region of a stress response gene in Drosophila melanogaster,2019,remove,Outbred,,,https://link.springer.com/article/10.1186/s13100-019-0152-9,,,,,,,,,,,,
,"AB Leitão, X Bian, JP Day, S Pitton, E Demir…",Independent effects on cellular and humoral immune responses underlie genotype-by-genotype interactions between Drosophila and parasitoids,2019,remove,Insufficient lines used,,,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008084,,,,,,,,,,,,
,"J Erceg, JAH Abed, A Goloborodko, BR Lajoie…",The genome-wide multi-layered architecture of chromosome pairing in early Drosophila embryos,2019,remove,Insufficient lines used,,,https://doi.org/10.1038/s41467-019-12211-8,,,,,,,,,,,,
Gaertner et al (2015) G3,"Bryn E. Gaertner, Elizabeth A. Ruedi, Lenovia J. McCoy, Jamie M. Moore, Mariana F. Wolfner, Trudy F. C. Mackay",Heritable Variation in Courtship Patterns in Drosophila melanogaster,2015,have,,,,https://doi.org/10.1534/g3.114.014811,Courtship behaviour ,Behaviour,"166,40",,Male,3-5,,10,cornmeal molasses agar,25,,
,C Stephenson,The genetic architecture and evolution of continuous reaction norms: dissecting the thermal performance curve,2015,don't,emailed,,,https://espace.library.uq.edu.au/view/UQ:352957/s40996846_phd_submission.pdf?dsi_version=7d31bda6ddf1d9dc8f79add791cabdc6,Activity ,Thermal resistance ,152,,Both virgin,5-6,6,individual ,cornmeal yeast medium,25,?,
,O Goldinger,Effects of High Sugar or Low Protein Parental Diets on Developmental Time of Offspring in Drosophila melanogaster,2019,remove,Insufficient lines used,,,https://www.malone.edu/files/resources/ogoldinger_the-final-thesisdocx.pdf,,,,,,,,,,,,
,M Coronado Zamora,Mapping natural selection through the drosophila melanogaster development following a multiomics data integration approach,2019,remove,Used previously published data,,,https://ddd.uab.cat/pub/tesis/2018/hdl_10803_666761/mcz1de1.pdf,,,,,,,,,,,,
,"Z Li, N Gao, JWR Martini, H Simianer",Integrating gene expression data into genomic prediction,2019,remove,Used previously published data Mackay 2012 and Huang 2015,,,https://www.frontiersin.org/articles/10.3389/fgene.2019.00126/full,,,,,,,,,,,,
,"EJ Shah, K Gurdziel, DM Ruden",Mammalian models of traumatic brain injury and a place for Drosophila in TBI research,2019,remove,Review,,,https://internal-journal.frontiersin.org/articles/10.3389/fnins.2019.00409/full,,,,,,,,,,,,
,"DM Gohl, A Magli, J Garbe, A Becker, DM Johnson…",Measuring sequencer size bias using REcount: a novel method for highly accurate Illumina sequencing-based quantification,2019,remove,Insufficient lines used + proof of principle ,,,https://doi.org/10.1186/s13059-019-1691-6,,,,,,,,,,,,
,"Clinton Rice, Danielle Beekman, Liping Liu, Albert Erives","The Nature, Extent, and Consequences of Genetic Variation in the opa Repeats of Notch in Drosophila",2015,unsure,Notch allele classification,,,https://doi.org/10.1534/g3.115.021659,,,,,,,,,,,,
,"JAH Abed, J Erceg, A Goloborodko, SC Nguyen…",Highly structured homolog pairing reflects functional organization of the Drosophila genome,2019,remove,F1 progeny used,,,https://www.nature.com/articles/s41467-019-12208-3,,,,,,,,,,,,
,"A Ramaekers, A Claeys, M Kapun, E Mouchel-Vielh…",Altering the temporal regulation of one transcription factor drives evolutionary trade-offs between head sensory organs,2019,remove,Insufficient lines used,,,https://www.sciencedirect.com/science/article/pii/S1534580719306586,,,,,,,,,,,,
,"JPS Hick, MG Eng, MD Parrotta, TJS Merritt",Fly Exercise: A Simple Experiment to Test the Physiological Effects of Exercise on a Model Organism. CourseSource,2019,remove,Protocol,,,https://www.researchgate.net/profile/Thomas-Merritt/publication/338087125_Fly_Exercise_A_Simple_Experiment_to_Test_the_Physiological_Effects_of_Exercise_on_a_Model_Organism/links/5f8df0eb458515b7cf8db978/Fly-Exercise-A-Simple-Experiment-to-Test-the-Physiological-Effects-of-Exercise-on-a-Model-Organism.pdf,,,,,,,,,,,,
,S Hervás Fernández,Population genomics in Drosophila melanogaster: a bioinformatics approach,2019,remove,thesis PopGen bioinformatic tool,,,https://ddd.uab.cat/pub/tesis/2018/hdl_10803_665851/shf1de1.pdf,,,,,,,,,,,,
,"R Nagata, M Nakamura, Y Sanaki, T Igaki",Cell competition is driven by autophagy,2019,remove,unrelated ,,,https://www.sciencedirect.com/science/article/pii/S1534580719307014,,,,,,,,,,,,
,"MP Shahandeh, A Pischedda, JM Rodriguez…",The genetics of male pheromone preference difference between Drosophila melanogaster and D. simulans,2019,remove,Insufficient lines used,,,https://doi.org/10.1534/g3.119.400780,,,,,,,,,,,,
,E. Durmaz,A clinal polymorphism in the insulin signaling transcription factor foxo contributes to life-history adaptation in Drosophila*,2019,remove,Outbred ,,,https://dx.doi.org/10.1111%2Fevo.13759,,,,,,,,,,,,
,CM Hunter,Environmental and Genetic Determinants of Recombination Rate in Drosophila melanogaster,2015,unsure,Recombination rate,,,https://repository.lib.ncsu.edu/handle/1840.16/10760,,,,,,,,,,,,
,K.A. Hope,Understanding human genetic disease with the fly,2019,remove,Book chapter,,,NA,,,,,,,,,,,,
,"David Houle, Eladio J. Marquez",Linkage Disequilibrium and Inversion-Typing of the Drosophila melanogaster Genome Reference Panel,2015,unsure,,,,https://doi.org/10.1534/g3.115.019554,,,,,,,,,,,,
Ivanov et al (2015) The Journals of Gerontology: Series A,"Dobril K. Ivanov, Valentina Escott-Price, Matthias Ziehm, Michael M. Magwire, Trudy F. C. Mackay, Linda Partridge, Janet M. Thomton",Longevity GWAS Using the Drosophila Genetic Reference Panel,2015,have,,,,https://doi.org/10.1093/gerona/glv047,Lifespan ,Lifespan,197,,Virgin Female ,,,,cornmeal molasses agar ,25,,
Morgante et al (2015) Scientific Reports,"F Morgante, P Sørensen, DA Sorensen, C Maltecca…",Genetic architecture of micro-environmental plasticity in Drosophila melanogaster,2015,have,,,,https://doi.org/10.1038/srep09785,"Survival following starvation, chill-induced coma and startle response ",Stress resistance,"197, 175, 201",,Male,"2, 3-7",,10 sex-separated,cornmeal molasses agar,25,,
,"G Ramaswami, P Deng, R Zhang, MA Carbone…",Genetic mapping uncovers cis-regulatory landscape of RNA editing,2015,unsure,Quantified RNA editing ,,,https://www.nature.com/articles/ncomms9194,,,,,,,,,,,,
Shorter et al (2015) PNAS,J. Shorter,Genetic architecture of natural variation in Drosophila melanogaster aggressive behavior,2015,have,,,,https://doi.org/10.1073/pnas.1510104112,Agressive behaviour towards conspecifics (within or bteween lines),Behavious,200,,3-7,,,8,cornmeal molasses agar ,25,,
,J.F. Ayroles,Behavioral idiosyncrasy reveals genetic control of phenotypic variability,2015,don't,Matlab format,,,https://doi.org/10.1073/pnas.1503830112,,,,,,,,,,,,
,"Rebecca A. S. Palu, Elaine Ong, Kaitlyn Stevens, Shani Chung, Katie G. Owings, Alan G. Goodman, Clement Y. Chow","Natural Genetic Variation Screen in Drosophila Identifies Wnt Signaling, Mitochondrial Metabolism, and Redox Homeostasis Genes as Modifiers of Apoptosis",2019,remove,F1 progeny used ,,,https://doi.org/10.1534/g3.119.400722,,,,,,,,,,,,
Dembeck et al (2015) eLife,L. Dembeck,Genetic architecture of natural variation in cuticular hydrocarbon composition in Drosophila melanogaster,2015,have,,,,https://doi.org/10.7554/eLife.09861,Cuticular hydrocarbon composition,Physiology?,157-169,,Both,4,,,cornmeal molasses ,25,,
Dembeck et al (2015) PLOS Genetics,"LM Dembeck, W Huang, MM Magwire…",Genetic Architecture of Abdominal Pigmentation in Drosophila melanogaster,2015,have,Added by Tom,,,https://doi.org/10.1371/journal.pgen.1005163,Pigmentation scores ,Morphology/Physiology,175,,Female ,5-8,,,cornmeal molasses ,25,,
,"S Chue, N Mehta, S Poon, H Trazino",EGFR Polymorphisms in Drosophila melanogaster,2018,remove,Poster,,,https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1280&context=bb_pubs,,,,,,,,,,,,
,"B Song, R Mott, X Gan",Recovery of novel association loci in Arabidopsis thaliana and Drosophila melanogaster through leveraging INDELs association and integrated burden test,2018,remove,Used previously published data for  software validation,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007699,,,,,,,,,,,,
,"F Morgante, W Huang, C Maltecca, TFC Mackay",Effect of genetic architecture on the prediction accuracy of quantitative traits in samples of unrelated individuals,2018,remove,Predctive ,,,https://www.nature.com/articles/s41437-017-0043-0,,,,,,,,,,,,
,"CR Archer, M Recker, E Duffy, DJ Hosken",Intralocus sexual conflict can resolve the male-female health-survival paradox,2018,remove,Insufficient lines used,,,https://www.nature.com/articles/s41467-018-07541-y,,,,,,,,,,,,
,DC Jhwueng,An improved tree-based statistical method for genome-wide association study,2018,remove,Used previously published data for  software validation,,,https://peerj.com/preprints/27118.pdf,,,,,,,,,,,,
,"MB Lee, M Kaeberlein",Translational geroscience: From invertebrate models to companion animal and human interventions,2018,remove,Review,,,https://www.sciencedirect.com/science/article/pii/S2468501118300051,,,,,,,,,,,,
,PJ Freda,"Phenotypic, Genetic, and Transcriptomic Decoupling of Thermal Hardiness across Metamorphosis in Drosophila melanogaster",2018,remove,Thesis with data from Freda et al 2017,,,https://www.proquest.com/docview/2174054568?pq-origsite=gscholar&fromopenview=true,,,,,,,,,,,,
,"M Chakraborty, NW VanKuren, R Zhao, X Zhang…",Hidden genetic variation shapes the structure of functional elements in Drosophila,2018,remove,Reference-genome validation ,,,https://doi.org/10.1038/s41588-017-0010-y,,,,,,,,,,,,
,"S De Castro, F Peronnet, JF Gilles…","bric à brac (bab), a central player in the gene regulatory network that mediates thermal plasticity of pigmentation in Drosophila melanogaster",2018,remove,Used previously published data ,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007573,,,,,,,,,,,,
,LM Prince,Myogenic Targets of Methylmercury Toxicity During Development,2018,remove,Unrelated ,,,https://urresearch.rochester.edu/fileDownloadForInstitutionalItem.action?itemId=34712&itemFileId=186081,,,,,,,,,,,,
,"H Li, X Wang, D Rukina, Q Huang, T Lin, V Sorrentino…",An integrated systems genetics and omics toolkit to probe gene function,2018,remove,Unrelated ,,,https://www.sciencedirect.com/science/article/pii/S2405471217304866,,,,,,,,,,,,
,"R She, DF Jarosz",Mapping causal variants with single-nucleotide resolution reveals biochemical drivers of phenotypic change,2018,remove,,,,https://www.sciencedirect.com/science/article/pii/S0092867417314952,,,,,,,,,,,,
,"K Davie, J Janssens, D Koldere, M De Waegeneer…",A single-cell transcriptome atlas of the aging Drosophila brain,2018,remove,Insufficient lines used,,,https://www.sciencedirect.com/science/article/pii/S0092867418307207,,,,,,,,,,,,
,"ER Everman, JL Delzeit, FK Hunter, JM Gleason…",Costs of cold acclimation on survival and reproductive behavior in Drosophila melanogaster,2018,remove,Insufficient lines used (19),,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0197822,,,,,,,,,,,,
,"H Zhang, S Dou, F He, J Luo, L Wei, J Lu",Genome-wide maps of ribosomal occupancy provide insights into adaptive evolution and regulatory roles of uORFs during Drosophila development,2018,remove,Used previously published data,,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.2003903,,,,,,,,,,,,
,"ZPG Olufs, CA Loewen, B Ganetzky, DA Wassarman…",Genetic variability affects absolute and relative potencies and kinetics of the anesthetics isoflurane and sevoflurane in Drosophila melanogaster,2018,remove,Insufficient lines used,,,https://www.nature.com/articles/s41598-018-20720-7,,,,,,,,,,,,
,"KE Lowman, BJ Wyatt, OP Cunneely…",The treadwheel: interval training protocol for gently induced exercise in Drosophila melanogaster,2018,remove,JOVE protocol,,,https://www.jove.com/t/57788/the-treadwheel-interval-training-protocol-for-gently-induced-exercise,,,,,,,,,,,,
,"C Vlachos, R Kofler",MimicrEE2: Genome-wide forward simulations of Evolve and Resequencing studies,2018,remove,Used previously published data for software validation,,,https://doi.org/10.1371/journal.pcbi.1006413,,,,,,,,,,,,
,"JA Fischer, ZPG Olufs, RJ Katzenberger…",Anesthetics influence mortality in a Drosophila model of blunt trauma with traumatic brain injury,2018,remove,Insufficient lines used,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6260981/,,,,,,,,,,,,
,"NM Osman, TH Kitapci, S Vlaho, Z Wunderlich…",Inference of Transcription Factor Regulation Patterns Using Gene Expression Covariation in Natural Populations of Drosophila melanogaster,2018,remove,F1 progeny used,,,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6368187/,,,,,,,,,,,,
,"L Guio, C Vieira, J González",Stress affects the epigenetic marks added by natural transposable element insertions in Drosophila melanogaster,2018,remove,F1 progeny used,,,https://www.nature.com/articles/s41598-018-30491-w,,,,,,,,,,,,
,"IE Schor, G Bussotti, M Male_, M Forneris, RR Viales…","Non-coding RNA expression, function, and variation during Drosophila embryogenesis",2018,remove,Insufficient lines used,,,https://www.sciencedirect.com/science/article/pii/S0960982218312211,,,,,,,,,,,,
,"M Katsukawa, S Ohsawa, L Zhang, Y Yan, T Igaki",Serpin facilitates tumor-suppressive cell competition by blocking toll-mediated Yki activation in Drosophila,2018,remove,,,,https://www.sciencedirect.com/science/article/pii/S0960982218304500,,,,,,,,,,,,
,"RB Harris, A Sackman, JD Jensen","On the unfounded enthusiasm for soft selective sweeps II: Examining recent evidence from humans, flies, and viruses",2018,remove,Validation,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007859,,,,,,,,,,,,
,MA Phillips,Genomics of adaptation in Drosophila experimental evolution,2018,remove,Predictive,,,https://escholarship.org/content/qt411201ft/qt411201ft.pdf,,,,,,,,,,,,
,"M Telonis-Scott, AA Hoffmann",Enhancing ebony? Common associations with a cis-regulatory haplotype for Drosophila melanogaster thoracic pigmentation in a Japanese population and …,2018,remove,Unrelated,,,https://www.frontiersin.org/articles/10.3389/fphys.2018.00822/full,,,,,,,,,,,,
,"RAS Palu, CY Chow",Baldspot/ELOVL6 is a conserved modifier of disease and the ER stress response,2018,remove,F1 crosses used,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007557,,,,,,,,,,,,
,"PA Combs, HB Fraser",Spatially varying cis-regulatory divergence in Drosophila embryos elucidates cis-regulatory logic,2018,remove,Insuffcient lines used,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007631,,,,,,,,,,,,
,"L Mateo, GE Rech, J González",Genome-wide patterns of local adaptation in Western European Drosophila melanogaster natural populations,2018,remove,Used previously publihsed data (Huang 2014),,,https://doi.org/10.1038/s41598-018-34267-0,,,,,,,,,,,,
,"LP Watanabe, NC Riddle",Measuring exercise levels in Drosophila melanogaster using the rotating exercise quantification system (REQS),2018,remove,JOVE protocol,,,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6101427/,,,,,,,,,,,,
,"DD Aggarwal, SR Rybnikov, I Cohen, E Rashkovetsky…",Desiccation-induced changes in recombination rate and interference in fruit flies: an evidence for fitness-dependent plasticity,2018,remove,Unrelated,,,https://www.biorxiv.org/content/10.1101/382259v1.full-text,,,,,,,,,,,,
,"__ ___________, __ ________…","______ _______ _____________ __________ _ _____ Drosophila melanogaster, _______ _______ radius incompletus, _ ________ __________",2018,remove,Not in English,,,http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/VKhb_2018_30_6.pdf,,,,,,,,,,,,
,"M Appel, CJ Scholz, T Müller, M Dittrich, C König…",Genome-Wide Association Analyses Point to Candidate Genes for Electric Shock Avoidance in Drosophila melanogaster,2015,don't,emailed - issue with address,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0126986,,,,,,,,,,,,
,R. Anholt,The road less traveled: from genotype to phenotype in flies and humans,2018,remove,Review,,,https://doi.org/10.1007/s00335-017-9722-7,,,,,,,,,,,,
,M Xie,Characterizing the genetic basis of susceptibility to atrazine exposure in male Drosophila melanogaster,2015,unsure,Couldn't find,,,NA,,,,,,,,,,,,
Najarro et al (2015) PLOS Genetics,"MA Najarro, JL Hackett, BR Smith, CA Highfill…",Identifying Loci Contributing to Natural Variation in Xenobiotic Resistance in Drosophila,2015,have,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005663,Survival following Caffien treatment ,Xenobiotic Resistance,165,,Female,1-3,,,cornmeal molasses yeast ,25,,
,I. Salvador-Martínez,Mapping Selection within Drosophila melanogaster Embryo's Anatomy,2018,remove,Used previously published data ,,,https://doi.org/10.1093/molbev/msx266,,,,,,,,,,,,
Garlapow et al (2015) PLOS One,"ME Garlapow, W Huang, MT Yarboro, KR Peterson…",Quantitative Genetics of Food Intake in Drosophila melanogaster,2015,have,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0138129,Food intake ,Behaviour (?),182,,Both,3-7,48,8 sex-separated,cornmeal molases agar ,25,,
Bou Sleiman et al (2015) Nature Communications,"MSB Sleiman, D Osman, A Massouras…","Genetic, molecular and physiological basis of variation in Drosophila gut immunocompetence",2015,have,Option to email about systemic Ecc1 data,,,https://doi.org/10.1038/ncomms8829,Survival to enteric P.entomophila,Infection resistance ,140,,Female,3-5,,,"1L: 6.2 g agar powder, 58.8 g Farigel wheat, 58.8 g yeast, 100 ml grape juice, 4.9 ml propionic acid, 26.5 ml of methyl 4-hydroxybenzoate solution (400 g/l) in 95% ethanol",,No,
,"Trudy F. C. Mackay, Wen Huang",Charting the genotype-phenotype map: lessons from the Drosophila melanogaster Genetic Reference Panel,2018,remove,Review,,,https://doi.org/10.1002/wdev.289,,,,,,,,,,,,
,"Sarah A. Signor, Felicia N. New, Sergey Nuzhdin",A Large Panel of Drosophila simulans Reveals an Abundance of Common Variants,2018,remove,,,,https://doi.org/10.1093/gbe/evx262,,,,,,,,,,,,
,"Sierra Lavoy, Vinita G. Chittoor-Vinod, Clement Y. Chow, Ian Martin",Genetic Modifiers of Neurodegeneration in a Drosophila Model of Parkinson's Disease,2018,remove,F1 progeny used,,,https://doi.org/10.1534/genetics.118.301119,,,,,,,,,,,,
,R. Miyagi,Complex patterns of cis-regulatory polymorphisms in ebony underlie standing pigmentation variation in Drosophila melanogaster,2015,don't,Have link to Dryad but data too large to download,,,https://doi.org/10.1111/mec.13432,,Physiological ,20,???,Female,3-6,4-13,,cornmeal,20,No,
"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics","RL Unckless, SM Rottschaefer, BP Lazzaro",The Complex Contributions of Genetics and Nutrition to Immunity in Drosophila melanogaster,2015,have,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005030,Resistance (load) to P. rettgeri infection on low and high glucose diets ,Infection response ,172,,Male,3-6,,,,24,,
"Unckless, Rottschaefer and Lazzaro (2015) G3","Robert L. Unckless, Susan M. Rottschaefer, Brian P. Lazzaro",A Genome-Wide Association Study for Nutritional Indices in Drosophila,2015,have,,,,https://doi.org/10.1534/g3.114.016477,Metabolic composition follwoing low and regular glucose diets ,Physiological ,172,,Male,3-6,,10,,,,
,"TL Turner, CC Giauque, DR Schrider, AD Kern",Behavioral variation in Drosophila melanogaster: no evidence for common alleles of large-effect at the foraging gene in a population from North Carolina …,2015,don't,email but not yet fully published,,,https://www.biorxiv.org/content/10.1101/004325v2.full,,,,,,,,,,,,
,"VG Faria, É Sucena",From nature to the lab: Establishing Drosophila resources for evolutionary genetics,2017,remove,unrelated,,,https://doi.org/10.3389/fevo.2017.00061,,,,,,,,,,,,
Morozova el al. (2015) BMC Genomics,"TV Morozova, W Huang, VA Pray, T Whitham…",Polymorphisms in early neurodevelopmental genes affect natural variation in alcohol sensitivity in adult drosophila,2015,have,,,,https://link.springer.com/article/10.1186/s12864-015-2064-5,Alcohol sensitivity ,Stress resistance ,205,,Both,3-5,140,70 per rep,cornmeal molasses yeast ,25,No,
,W. Huang,Genetic basis of transcriptome diversity in Drosophila melanogaster,2015,unsure,Transcriptome diversity ,,,https://doi.org/10.1073/pnas.1519159112,,,,,,,,,,,,
,"A Xue, H Wang, J Zhu",Dissecting genetic architecture of startle response in Drosophila melanogaster using multi-omics information,2017,remove,Used previously published Mackay 2012 data,,,https://www.nature.com/articles/s41598-017-11676-1,,,,,,,,,,,,
,"A Laranjeira, J Schulz, CG Dotti",Genes Related to Fatty Acid _-Oxidation Play a Role in the Functional Decline of the Drosophila Brain with Age,2016,don't,emailed - 1st author unreachable ,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161143,Negative Geotaxis,Ageing ,40,,?,?,10 per rep,,cornmeal yeast,25,No,
,"IF Sørensen, SM Edwards, PD Rohde, P Sørensen",Multiple trait covariance association test identifies gene ontology categories associated with chill coma recovery time in Drosophila melanogaster,2017,remove,Used Sequencing data Huang 2015,,,https://www.nature.com/articles/s41598-017-02281-3,,,,,,,,,,,,
,"CY Chow, LT Reiter",Etiology of Human Genetic Disease [347_TD $ DIFF] on the Fly,2017,remove,Review,,,https://www.researchgate.net/profile/Lawrence-Reiter-2/publication/316158496_Etiology_of_Human_Genetic_Disease_on_the_Fly/links/59fa3f450f7e9b61546ea073/Etiology-of-Human-Genetic-Disease-on-the-Fly.pdf,,,,,,,,,,,,
,"__ _________, __ __________…",_____ _____ ______________ ____________ _ _______ __________________ _____ _ Drosophila melanogaster,2017,remove,Not in English,,,https://vavilov.elpub.ru/jour/article/view/1231,,,,,,,,,,,,
,"ST Harbison, YL Serrano Negron, NF Hansen…",Selection for long and short sleep duration in Drosophila melanogaster reveals the complex genetic network underlying natural variation in sleep,2017,remove,Outbred,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007098,,,,,,,,,,,,
,AA Kinion,Integrity of the Barrier Epithelium in Drosophila Gut is Mediated by Factors That Regulate Intestinal Stem Cell Activity,2016,don't,emailed - no response ,,,http://scholar.dominican.edu/cgi/viewcontent.cgi?article=1239&context=masters-theses,Gut permeability ,Ageing ,52,,Female,33-34,,,"Agar 20g/L, Molasses 30g/L, Malt 98g/L, Yeast 27g/L, Corn Flower 127g/L, Soy Flower 15g/L",,No,
,"DM Ruden, K Gurdziel, M Aschner",Frontiers in toxicogenomics in the twenty-first century—the grand challenge: to understand how the genome and epigenome interact with the toxic …,2017,remove,Review,,,https://www.frontiersin.org/articles/10.3389/fgene.2017.00173/full,,,,,,,,,,,,
,FD Lamparter,Going beyond GWAS: New methods to interpret association signals,2017,remove,Thesis inclusive of relevant (to our search) papers published ,,,https://serval.unil.ch/resource/serval:BIB_0A6E81155135.P001/REF.pdf,,,,,,,,,,,,
,AS Lo,Role of Genes in the Jak-Stat Pathway in the Innate Immune System and Immunosenescence in Drosophila melanogaster,2017,remove,Unrelated,,,https://search.proquest.com/openview/ed9c815bdbb089ea81aebd46c1d00283/1?pq-origsite=gscholar&cbl=18750,,,,,,,,,,,,
,"V Galeote, JL Legras, F Bigey…",Horizontal Gene Transfer is a key mechanism permitting adaptation of S. cerevisiae to its ecological niches,2017,remove,Abstract,,,https://hal.archives-ouvertes.fr/hal-01918076/document,,,,,,,,,,,,
,"LP Watanabe, NC Riddle","Characterization of the Rotating Exercise Quantification System (REQS), a novel Drosophila exercise quantification apparatus",2017,remove,Insufficient lines used,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185090,,,,,,,,,,,,
,R Mathur,Discovering mQTL Signatures of Genotype-by-Diet Interactions Underlying Metabolic Syndrome in Drosophila: A Pathway Approach,2017,remove,Unrelated,,,https://repository.lib.ncsu.edu/bitstream/handle/1840.20/33501/etd.pdf?sequence=1,,,,,,,,,,,,
,V Bozicevic,Signatures of polygenic adaptation in european drosophila melanogaster,2017,remove,Used Sequencing data Huang 2015,,,https://edoc.ub.uni-muenchen.de/20989/1/Bozicevic_Vedran.pdf,,,,,,,,,,,,
