Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
Everett et al (2020) Genome Research,Komagataeibacter.medellinensis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Komagataeibacter.oboediens.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Komagataeibacter.oboediens.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Komagataeibacter.rhaeticus.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Komagataeibacter.rhaeticus.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Komagataeibacter.xylinus.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Komagataeibacter.xylinus.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Kozakia.baliensis.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Kozakia.baliensis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.brevis.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.brevis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.fabifermentans.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.fabifermentans.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.fermentum.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.fermentum.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.kisonensis.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.kisonensis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.plantarum.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.plantarum.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.rhamnosus.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactobacillus.rhamnosus.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactococcus.lactis.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Lactococcus.lactis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Leuconostoc.carnosum.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Leuconostoc.carnosum.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Leuconostoc.pseudomesenteroides.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Leuconostoc.pseudomesenteroides.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Luteipulveratus.mongoliensis.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Luteipulveratus.mongoliensis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Mesorhizobium.sp..f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Mesorhizobium.sp..m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Metarhizium.brunneum.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Metarhizium.brunneum.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Methylobacterium.extorquens.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Methylobacterium.extorquens.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Methylobacterium.sp..f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Methylobacterium.sp..m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Microbacterium.sp..f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Microbacterium.sp..m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Nora.virus.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Nora.virus.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Paenibacillus.borealis.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Paenibacillus.borealis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Paenibacillus.sp..f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Paenibacillus.sp..m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pectobacterium.carotovorum.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pectobacterium.carotovorum.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Plasmodium.vivax.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Plasmodium.vivax.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Podospora.anserina.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Podospora.anserina.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Propionibacterium.acidipropionici.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Propionibacterium.acidipropionici.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Propionibacterium.acnes.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Propionibacterium.acnes.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudodonghicola.xiamenensis.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudodonghicola.xiamenensis.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.fuscovaginae.f,200,Female,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
Everett et al (2020) Genome Research,Pseudomonas.fuscovaginae.m,200,Male,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al,Gene expression networks in the Drosophila Genetic Reference Panel,2020,https://doi.org/10.1101/gr.257592.119,NA,NA,NA,NA,NA,"gene expression study, but the quant trait is microbial reads for which DGRP line. This is used as an abundance proxy for loads of different microbes – worth a chat but I’ve got line means"
